timestamp,region,temperature,wind_speed,solar_irradiance,wind_generation,solar_generation,total_generation,demand,price,storage_soc,hour,month,weekday
2019-01-01 00:00:00,Northern,23.66,5.44,0.0,1.087,-0.022,1.065,1.519,2784.95,54.8,0,1,1
2019-01-01 00:00:00,Southern,28.13,6.33,0.0,1.283,0.049,1.332,1.683,2344.35,56.7,0,1,1
2019-01-01 00:00:00,Eastern,23.7,5.09,0.0,1.026,0.002,1.028,1.505,2739.69,50.1,0,1,1
2019-01-01 00:00:00,Western,26.01,7.71,0.0,1.439,-0.041,1.398,1.682,2459.4,60.3,0,1,1
2019-01-01 00:00:00,North-Eastern,27.64,4.98,0.0,0.94,-0.095,0.845,1.511,2984.33,59.8,0,1,1
2019-01-01 01:00:00,Northern,24.45,9.24,0.0,1.5,-0.098,1.402,1.558,2137.14,55.0,1,1,1
2019-01-01 01:00:00,Southern,28.79,9.33,0.0,1.5,0.018,1.518,1.496,1506.33,64.3,1,1,1
2019-01-01 01:00:00,Eastern,27.71,4.88,0.0,1.001,-0.009,0.992,1.709,3009.95,63.1,1,1,1
2019-01-01 01:00:00,Western,25.54,3.28,0.0,0.694,0.009,0.702,1.619,3660.71,55.4,1,1,1
2019-01-01 01:00:00,North-Eastern,27.69,8.44,0.0,1.5,-0.024,1.476,1.455,1688.87,61.5,1,1,1
2019-01-01 02:00:00,Northern,27.83,7.16,0.0,1.462,-0.007,1.455,1.686,2187.62,69.3,2,1,1
2019-01-01 02:00:00,Southern,33.95,9.71,0.0,1.5,0.032,1.532,1.799,2285.64,63.4,2,1,1
2019-01-01 02:00:00,Eastern,28.4,6.28,0.0,1.282,-0.041,1.241,1.725,2543.27,70.7,2,1,1
2019-01-01 02:00:00,Western,25.99,10.37,0.0,1.5,0.004,1.504,1.631,2146.69,69.4,2,1,1
2019-01-01 02:00:00,North-Eastern,30.48,4.37,0.0,0.789,0.007,0.796,1.678,3505.4,68.8,2,1,1
2019-01-01 03:00:00,Northern,32.85,7.39,0.0,1.5,0.01,1.51,1.786,2428.27,58.6,3,1,1
2019-01-01 03:00:00,Southern,31.77,9.18,0.0,1.5,-0.054,1.446,2.042,2675.34,71.3,3,1,1
2019-01-01 03:00:00,Eastern,30.68,9.26,0.0,1.5,0.017,1.517,1.728,2154.68,64.9,3,1,1
2019-01-01 03:00:00,Western,28.84,3.71,0.0,0.921,-0.029,0.892,1.929,3640.16,69.0,3,1,1
2019-01-01 03:00:00,North-Eastern,28.58,5.76,0.0,1.167,-0.058,1.109,1.849,3068.89,69.0,3,1,1
2019-01-01 04:00:00,Northern,32.56,8.37,0.0,1.5,-0.002,1.498,1.915,2656.56,72.0,4,1,1
2019-01-01 04:00:00,Southern,31.82,10.44,0.0,1.5,0.005,1.505,1.99,2817.7,79.2,4,1,1
2019-01-01 04:00:00,Eastern,36.83,8.31,0.0,1.5,-0.135,1.365,1.982,3019.13,79.9,4,1,1
2019-01-01 04:00:00,Western,33.5,7.26,0.0,1.464,-0.036,1.428,1.971,2871.36,80.9,4,1,1
2019-01-01 04:00:00,North-Eastern,35.41,8.68,0.0,1.5,-0.026,1.474,2.147,2713.6,69.7,4,1,1
2019-01-01 05:00:00,Northern,36.6,8.98,0.0,1.5,-0.027,1.473,2.267,2857.25,79.9,5,1,1
2019-01-01 05:00:00,Southern,33.51,8.07,0.0,1.5,-0.029,1.471,2.277,2905.52,78.6,5,1,1
2019-01-01 05:00:00,Eastern,34.7,7.23,0.0,1.439,0.001,1.439,2.22,3089.73,81.6,5,1,1
2019-01-01 05:00:00,Western,31.84,7.02,0.0,1.33,0.044,1.374,2.292,3477.52,86.5,5,1,1
2019-01-01 05:00:00,North-Eastern,32.7,7.5,0.0,1.5,0.096,1.596,2.163,2415.09,79.7,5,1,1
2019-01-01 06:00:00,Northern,33.46,8.95,47.77,1.5,0.207,1.707,2.406,2933.09,75.7,6,1,1
2019-01-01 06:00:00,Southern,32.05,7.72,14.9,1.5,-0.015,1.485,2.406,3183.77,81.9,6,1,1
2019-01-01 06:00:00,Eastern,28.51,7.36,0.0,1.487,0.062,1.549,2.33,2964.54,80.5,6,1,1
2019-01-01 06:00:00,Western,35.67,9.19,31.04,1.5,0.039,1.539,2.424,3203.41,81.0,6,1,1
2019-01-01 06:00:00,North-Eastern,35.08,7.81,0.0,1.5,0.073,1.573,2.238,2929.6,85.1,6,1,1
2019-01-01 07:00:00,Northern,29.94,5.75,193.35,1.169,0.451,1.62,2.517,2843.11,82.0,7,1,1
2019-01-01 07:00:00,Southern,33.1,7.65,135.77,1.5,0.215,1.715,2.763,3473.62,77.7,7,1,1
2019-01-01 07:00:00,Eastern,34.87,8.64,203.09,1.5,0.474,1.974,2.565,2578.88,77.5,7,1,1
2019-01-01 07:00:00,Western,33.99,8.5,164.38,1.5,0.261,1.761,2.531,2715.83,88.6,7,1,1
2019-01-01 07:00:00,North-Eastern,32.49,8.4,131.45,1.5,0.208,1.708,2.672,3099.54,84.5,7,1,1
2019-01-01 08:00:00,Northern,32.28,9.59,315.66,1.5,0.624,2.124,2.829,2707.47,75.0,8,1,1
2019-01-01 08:00:00,Southern,31.01,6.17,332.54,1.246,0.726,1.971,2.731,2612.46,75.2,8,1,1
2019-01-01 08:00:00,Eastern,33.5,9.6,373.74,1.5,0.757,2.257,2.638,2340.5,84.1,8,1,1
2019-01-01 08:00:00,Western,30.87,8.84,330.1,1.5,0.494,1.994,2.836,2967.95,75.7,8,1,1
2019-01-01 08:00:00,North-Eastern,32.34,8.45,397.22,1.5,0.788,2.288,2.944,2677.27,71.6,8,1,1
2019-01-01 09:00:00,Northern,25.35,7.51,460.47,1.5,0.9,2.4,2.923,2632.88,74.3,9,1,1
2019-01-01 09:00:00,Southern,29.0,6.24,418.48,1.251,0.868,2.119,2.929,2392.19,77.0,9,1,1
2019-01-01 09:00:00,Eastern,31.52,4.98,497.84,1.097,0.906,2.003,2.799,2782.87,71.9,9,1,1
2019-01-01 09:00:00,Western,33.35,6.78,389.1,1.293,0.858,2.151,2.771,2250.91,80.7,9,1,1
2019-01-01 09:00:00,North-Eastern,29.93,5.74,463.37,1.337,1.034,2.371,3.094,2754.95,68.8,9,1,1
2019-01-01 10:00:00,Northern,28.11,8.28,467.61,1.5,0.982,2.482,2.944,2359.25,58.9,10,1,1
2019-01-01 10:00:00,Southern,30.09,8.62,607.23,1.5,1.242,2.742,3.214,2634.55,58.4,10,1,1
2019-01-01 10:00:00,Eastern,27.62,9.1,485.92,1.5,0.987,2.487,2.966,2486.81,70.6,10,1,1
2019-01-01 10:00:00,Western,26.95,8.21,509.41,1.5,1.047,2.547,3.104,2489.68,60.7,10,1,1
2019-01-01 10:00:00,North-Eastern,32.17,8.08,573.86,1.469,1.099,2.568,2.879,1760.62,66.5,10,1,1
2019-01-01 11:00:00,Northern,28.84,5.37,659.11,1.176,1.323,2.499,3.086,2661.43,59.7,11,1,1
2019-01-01 11:00:00,Southern,28.83,3.74,678.46,0.81,1.356,2.166,3.335,2584.18,57.9,11,1,1
2019-01-01 11:00:00,Eastern,27.08,5.02,647.18,0.954,1.366,2.321,3.06,2511.43,59.0,11,1,1
2019-01-01 11:00:00,Western,26.45,6.75,622.43,1.327,1.143,2.47,3.213,2551.32,59.8,11,1,1
2019-01-01 11:00:00,North-Eastern,27.69,3.75,604.92,0.862,1.287,2.149,3.059,2870.93,52.8,11,1,1
2019-01-01 12:00:00,Northern,25.75,4.96,665.33,1.094,1.358,2.452,3.19,2786.53,41.0,12,1,1
2019-01-01 12:00:00,Southern,27.33,9.26,689.64,1.5,1.451,2.951,3.13,2059.9,47.1,12,1,1
2019-01-01 12:00:00,Eastern,24.32,7.03,682.22,1.304,1.397,2.701,3.293,2815.37,32.0,12,1,1
2019-01-01 12:00:00,Western,27.11,7.35,636.19,1.493,1.264,2.757,3.351,2438.56,51.2,12,1,1
2019-01-01 12:00:00,North-Eastern,24.42,6.29,550.8,1.23,1.153,2.383,3.299,2641.79,54.6,12,1,1
2019-01-01 13:00:00,Northern,24.03,6.01,609.88,1.314,1.205,2.52,3.149,2412.81,42.0,13,1,1
2019-01-01 13:00:00,Southern,22.91,4.11,597.55,1.015,1.162,2.178,3.138,2550.45,39.4,13,1,1
2019-01-01 13:00:00,Eastern,23.37,6.11,680.58,1.205,1.491,2.697,3.218,2376.34,32.7,13,1,1
2019-01-01 13:00:00,Western,24.02,5.49,605.28,0.977,1.321,2.297,3.078,3033.21,43.3,13,1,1
2019-01-01 13:00:00,North-Eastern,23.6,8.57,646.21,1.5,1.276,2.776,3.289,1834.42,38.7,13,1,1
2019-01-01 14:00:00,Northern,20.86,4.98,583.58,0.915,1.122,2.037,3.024,2728.35,34.5,14,1,1
2019-01-01 14:00:00,Southern,23.06,7.49,489.16,1.5,0.997,2.497,3.093,2587.99,29.0,14,1,1
2019-01-01 14:00:00,Eastern,20.82,3.86,547.52,0.845,1.018,1.863,3.141,3458.68,45.9,14,1,1
2019-01-01 14:00:00,Western,23.91,3.52,617.53,0.794,1.25,2.044,3.069,3089.53,33.1,14,1,1
2019-01-01 14:00:00,North-Eastern,22.35,3.7,572.75,0.805,1.107,1.913,3.104,3170.83,36.8,14,1,1
2019-01-01 15:00:00,Northern,19.43,4.01,497.88,0.701,0.983,1.685,3.104,3221.1,26.6,15,1,1
2019-01-01 15:00:00,Southern,18.86,5.53,399.6,1.384,0.731,2.115,2.81,2621.4,26.7,15,1,1
2019-01-01 15:00:00,Eastern,21.86,5.01,422.68,1.026,0.917,1.942,2.933,2840.51,30.5,15,1,1
2019-01-01 15:00:00,Western,20.39,6.81,433.02,1.396,0.938,2.334,3.11,2523.75,26.8,15,1,1
2019-01-01 15:00:00,North-Eastern,15.1,5.12,376.31,1.099,0.712,1.811,2.998,2972.37,21.8,15,1,1
2019-01-01 16:00:00,Northern,16.17,2.89,389.53,0.541,0.834,1.375,2.802,3572.87,27.0,16,1,1
2019-01-01 16:00:00,Southern,17.63,2.83,315.32,0.432,0.611,1.042,2.761,4026.24,32.2,16,1,1
2019-01-01 16:00:00,Eastern,20.83,3.07,318.98,0.733,0.564,1.297,2.725,3835.88,21.2,16,1,1
2019-01-01 16:00:00,Western,19.64,5.66,240.12,1.137,0.488,1.624,2.803,3322.86,15.8,16,1,1
2019-01-01 16:00:00,North-Eastern,20.67,6.19,272.14,1.375,0.496,1.871,2.871,3010.34,22.1,16,1,1
2019-01-01 17:00:00,Northern,18.71,3.94,204.72,0.658,0.45,1.108,2.641,4085.95,28.5,17,1,1
